fold,n_train,n_fraud_train,n_fraud_test,psi_max,psi_mean,psi_v14,psi_v4,psi_v12,psi_v11,psi_v10,iso_pr_auc,iso_f1,iso_precision,iso_recall,iso_mcc,iso_threshold,rf_pr_auc,rf_f1,rf_precision,rf_recall,rf_mcc,rf_threshold
1,17539,81,90,2.9285,1.0177,1.4748,0.0577,2.9285,0.4836,0.1439,0.075,0.1077,0.175,0.0778,0.1159,0.667371,0.7532,0.8176,0.942,0.7222,0.8246,0.14
2,78583,191,75,0.8111,0.3594,0.6667,0.1587,0.8111,0.0317,0.1288,0.5846,0.6098,0.5618,0.6667,0.6102,0.631794,0.8183,0.8,0.7333,0.88,0.8024,0.24
3,144786,281,59,0.4595,0.174,0.0696,0.1862,0.0633,0.4595,0.0913,0.0184,0.0123,0.0096,0.0169,0.0115,0.669652,0.7427,0.8073,0.88,0.7458,0.8099,0.58
4,162525,356,77,0.4786,0.2399,0.1293,0.2125,0.3205,0.4786,0.0586,0.0268,0.067,0.0355,0.5844,0.1404,0.537184,0.8127,0.7883,0.9,0.7013,0.7942,0.6
